DATATYPE ZTEM
1 172 173 174 1 		 -0.09950936 0.01497547 -0.07686558 0.01384328 -0.08092933 0.01404647 -0.07979894 0.01398995
1 175 176 177 1 		 -0.146762 0.0173381 -0.06902065 0.01345103 -0.09289612 0.01464481 -0.08056926 0.01402846
1 178 179 180 1 		 -0.1094552 0.01547276 -0.0458218 0.01229109 -0.08360679 0.01418034 -0.06408179 0.01320409
1 181 182 183 1 		 0.003620621 0.01018103 -0.002408894 0.01012044 -0.07040321 0.01352016 -0.04284308 0.01214215
1 184 185 186 1 		 0.1161213 0.01580607 0.03653193 0.0118266 -0.05772582 0.01288629 -0.0286637 0.01143319
1 187 188 189 1 		 0.1511154 0.01755577 0.05159002 0.0125795 -0.03943331 0.01197167 -0.01800473 0.01090024
1 190 191 192 1 		 0.1008937 0.01504469 0.05804059 0.01290203 -0.02268963 0.01113448 -0.01199182 0.01059959
1 193 194 195 1 		 0.05827894 0.01291395 0.05030873 0.01251544 -0.01274006 0.010637 -0.008126894 0.01040634
1 196 197 198 1 		 -0.01358896 0.01067945 -0.02608432 0.01130422 -0.0067635 0.01033818 -0.01612818 0.01080641
1 199 200 201 1 		 -0.02355746 0.01117787 -0.03548585 0.01177429 -0.01579975 0.01078999 -0.02500759 0.01125038
1 202 203 204 1 		 -0.0379236 0.01189618 -0.04767089 0.01238354 -0.03386911 0.01169346 -0.03835752 0.01191788
1 205 206 207 1 		 -0.05572808 0.0127864 -0.06273877 0.01313694 -0.06360202 0.0131801 -0.05628406 0.0128142
1 208 209 210 1 		 -0.08092933 0.01404647 -0.07979894 0.01398995 -0.09950936 0.01497547 -0.07686558 0.01384328
1 211 212 213 1 		 -0.125596 0.0162798 -0.09284112 0.01464206 -0.125596 0.0162798 -0.09284112 0.01464206
1 214 215 216 1 		 -0.1818197 0.01909099 -0.08470758 0.01423538 -0.1237847 0.01618924 -0.09209638 0.01460482
1 217 218 219 1 		 -0.1297231 0.01648616 -0.05596738 0.01279837 -0.0761893 0.01380947 -0.06751576 0.01337579
1 220 221 222 1 		 0.005953992 0.0102977 -0.001860654 0.01009303 -0.03739858 0.01186993 -0.03630451 0.01181523
1 223 224 225 1 		 0.141261 0.01706305 0.04714983 0.01235749 -0.02638551 0.01131928 -0.01988634 0.01099432
1 226 227 228 1 		 0.1906827 0.01953414 0.06587437 0.01329372 -0.02110846 0.01105542 -0.0102568 0.01051284
1 229 230 231 1 		 0.1272221 0.01636111 0.07134827 0.01356741 -0.01411917 0.01070596 -0.005631973 0.0102816
1 232 233 234 1 		 0.07182331 0.01359117 0.05982134 0.01299107 -0.00875499 0.01043775 -0.003474816 0.01017374
1 235 236 237 1 		 -0.01976895 0.01098845 -0.0278379 0.0113919 -0.006516523 0.01032583 -0.0132649 0.01066325
1 238 239 240 1 		 -0.03548026 0.01177401 -0.0375694 0.01187847 -0.0164743 0.01082372 -0.02117365 0.01105868
1 241 242 243 1 		 -0.05910346 0.01295517 -0.04942006 0.012471 -0.03987891 0.01199395 -0.03347451 0.01167373
1 244 245 246 1 		 -0.08154141 0.01407707 -0.06367255 0.01318363 -0.08661838 0.01433092 -0.04984799 0.0124924
1 247 248 249 1 		 -0.09289612 0.01464481 -0.08056926 0.01402846 -0.146762 0.0173381 -0.06902065 0.01345103
1 250 251 252 1 		 -0.1237847 0.01618924 -0.09209638 0.01460482 -0.1818197 0.01909099 -0.08470758 0.01423538
1 253 254 255 1 		 -0.172592 0.0186296 -0.08442327 0.01422116 -0.172592 0.0186296 -0.08442327 0.01422116
1 256 257 258 1 		 -0.1202012 0.01601006 -0.0547635 0.01273818 -0.09382103 0.01469105 -0.063795 0.01318975
1 259 260 261 1 		 0.01308751 0.01065438 0.001370577 0.01006853 -0.02957097 0.01147855 -0.02984204 0.0114921
1 262 263 264 1 		 0.1511809 0.01755905 0.05286024 0.01264301 -0.01264868 0.01063243 -0.01032486 0.01051624
1 265 266 267 1 		 0.2051522 0.02025761 0.0735026 0.01367513 -0.007693155 0.01038466 -0.0005240343 0.0100262
1 268 269 270 1 		 0.1379244 0.01689622 0.07821728 0.01391086 -0.005302976 0.01026515 0.002324382 0.01011622
1 271 272 273 1 		 0.07758868 0.01387943 0.0646048 0.01323024 -0.00389626 0.01019481 0.00228071 0.01011404
1 274 275 276 1 		 -0.02538093 0.01126905 -0.02778266 0.01138913 -0.003597893 0.01017989 -0.008061718 0.01040309
1 277 278 279 1 		 -0.04787776 0.01239389 -0.03641455 0.01182073 -0.01042082 0.01052104 -0.01303533 0.01065177
1 280 281 282 1 		 -0.0865393 0.01432697 -0.044005 0.01220025 -0.02796149 0.01139807 -0.02074261 0.01103713
1 283 284 285 1 		 -0.118301 0.01591505 -0.0503235 0.01251618 -0.06493369 0.01324668 -0.03127885 0.01156394
1 286 287 288 1 		 -0.08360679 0.01418034 -0.06408179 0.01320409 -0.1094552 0.01547276 -0.0458218 0.01229109
